Exercici_OF	Clase_OF	Series_OF	Num_doc_of	Codi_Producte	Descripcio	Tipus embalatge (Peça 00 moble es 01)	Codi_personal	Nom_personal	Largo	Ancho	Grueso	MP1	MP1_Descripcio	Ubicacio 1	Ubicacio 2	Ubicacio 3	Quantitat
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	527	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	607	1	7
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	608	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	626	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	627	1	1
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	707	1	7
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	708	1	4
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	726	1	8
2024	OF	OF	140120	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	7	727	1	1
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	10	1107	1	5
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	12	118	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	1	150	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	251	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	3	351	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	4	451	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	5	551	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	6	651	1	3
2024	OF	OF	140216	7090671004	ESTANTE SUELTO 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	566,5	479	16	01B16C59812CBS560207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	19	807	1	7
2024	OF	OF	140120	7090671005	TRASERA 600 - KIT	0	C709	CONSTRUCCIONES RUESMA, S.A.	784	586	10	01B10C59812CBS280207	MELAMINA CASHMERE 5981 BS/CASHMERE 5981 BS	2	207	1	2
